Order	Line	Ordered Item	Qty	Status	UOM	Unit Selling Price	Price List	Line Type	Qty Cancelled	Qty Fulfilled	List Price	Extended Price	Request Date	Warehouse	Ship To Location	Secondary Shipping Qty
437838	68.1	023408P0	3	Picked	EA	57.57	Hurst Price List	Paint Line	0		57.57	172.71	8/2/2019 0:00	DC1	911	913
437838	69.1	023409P4	3	Picked	EA	54.23	Hurst Price List	Paint Line	0		54.23	162.69	8/2/2019 0:00	DC1	911	913
437837	1.1	023402P2	3	Closed	EA	47.46	Hurst Price List	Paint Line	0	3	47.46	142.38	8/2/2019 0:00	DC1	1118	1120
437837	2.1	023408P0	44	Closed	EA	57.57	Hurst Price List	Paint Line	0	44	57.57	2,533.08	8/2/2019 0:00	DC1	1118	1120
437837	3.1	023408P4	3	Closed	EA	52.47	Hurst Price List	Paint Line	0	3	52.47	157.41	8/2/2019 0:00	DC1	1118	1120
437837	4.1	023409P0	3	Closed	EA	47.83	Hurst Price List	Paint Line	0	3	47.83	143.49	8/2/2019 0:00	DC1	1118	1120
437837	5.1	023403P10	6	Closed	EA	59.57	Hurst Price List	Paint Line	0	6	59.57	357.42	8/2/2019 0:00	DC1	1118	1120
437837	6.1	024007P0	3	Closed	EA	61.62	Hurst Price List	Paint Line	0	3	61.62	184.86	8/2/2019 0:00	DC1	1118	1120
437837	7.1	024407P8	3	Closed	EA	50.76	Hurst Price List	Paint Line	0	3	50.76	152.28	8/2/2019 0:00	DC1	1118	1120
437837	8.1	024408P6	6	Closed	EA	55.64	Hurst Price List	Paint Line	0	6	55.64	333.84	8/2/2019 0:00	DC1	1118	1120
437837	9.1	024409P0	3	Closed	EA	51.45	Hurst Price List	Paint Line	0	3	51.45	154.35	8/2/2019 0:00	DC1	1118	1120
437837	10.1	024410P8	3	Closed	EA	55.7	Hurst Price List	Paint Line	0	3	55.7	167.1	8/2/2019 0:00	DC1	1118	1120
437837	11.1	024201P8	6	Closed	EA	51.44	Hurst Price List	Paint Line	0	6	51.44	308.64	8/2/2019 0:00	DC1	1118	1120
437837	12.1	024407P4	4	Closed	EA	46.18	Hurst Price List	Paint Line	0	4	46.18	184.72	8/2/2019 0:00	DC1	1118	1120
437837	13.1	023602P10	3	Closed	EA	49.79	Hurst Price List	Paint Line	0	3	49.79	149.37	8/2/2019 0:00	DC1	1118	1120
437837	14.1	023804P8	3	Closed	EA	62.54	Hurst Price List	Paint Line	0	3	62.54	187.62	8/2/2019 0:00	DC1	1118	1120
437837	15.1	023809P4	4	Closed	EA	65.38	Hurst Price List	Paint Line	0	4	65.38	261.52	8/2/2019 0:00	DC1	1118	1120
437837	16.1	023803P10	4	Closed	EA	69.04	Hurst Price List	Paint Line	0	4	69.04	276.16	8/2/2019 0:00	DC1	1118	1120
437837	17.1	023805P8	12	Closed	EA	68.95	Hurst Price List	Paint Line	0	12	68.95	827.4	8/2/2019 0:00	DC1	1118	1120
437837	18.1	023809P0	3	Closed	EA	65.2	Hurst Price List	Paint Line	0	3	65.2	195.6	8/2/2019 0:00	DC1	1118	1120
437837	19.1	#N/A	2	Closed	EA	13.72	Hurst Price List	Sundry Line	0	2	13.72	27.44	8/2/2019 0:00	DC1	1118	1120
437837	20.1	#N/A	2	Closed	EA	32.44	Hurst Price List	Sundry Line	0	2	32.44	64.88	8/2/2019 0:00	DC1	1118	1120
